Place of interest,Place address,BiciMAD station,Station location,Bikes_available
Escuela Infantil Amadeo Vives,Calle Yebenes 6 Ubicada En C. P. Amadeo Vives,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Andal,Calle Antonio Diaz-Cañabate 18,Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19,17
Escuela Infantil Andal Alameda,Plaza Navio 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Andal I,Calle Francisco Vitoria 4,Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19,17
Escuela Infantil Andal II,Calle Francisco Vitoria 21,Conde de Casal,Plaza del Conde de Casal nº 8,2
Escuela Infantil Angelitos de Nerey,Calle Jose Luis De Arrese 38,Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,15
Escuela Infantil Arce,Calle Alcalde Garrido Juaristi 6,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Escuela Infantil Arco  Iris,Plaza Corregidor Sancho De Cordoba 3,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Escuela Infantil Arienbaby,Calle Carolina Paino 24,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Arlequín,Calle Yebenes 69,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Armonía,Calle Isla De Cuba 12,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil B.B. VIP,Calle Guetaria 73- 85 (Locales 3 Y 4) ,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil B.R.A. Institucion Orgaz,Calle Frascuelo 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Babilín II,Calle Almazan 2,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Bambi,Calle Sulfato 9,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil Bambi y Tambor,Calle Lituania 2,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Escuela Infantil Bambinos,Calle Concejal Francisco Jose Jimenez Martin 142,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Bambis,Calle Pico De Montanchez 12,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Bamby. Calle Mingorria,Calle Mingorria 16,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Benjamines,Plaza Platon 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Betaria,Calle Padre Rubio 14,Plaza de Castilla,Paseo de la Castellana nº 216,4
Escuela Infantil Bichejos-Sanchinarro,Calle Oña 137,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Blancanitos 2,Calle Naves 13,Madrid Río-Yeserías,Paseo de Yeserías nº 45,19
Escuela Infantil Bolboreta,Calle Halcon 30,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Borja,Ronda Sur 239,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil Brains Madrid,Avenida Toreros 9,Avenida de los Toreros,Avenida de los Toreros nº 3,4
Escuela Infantil Británica  Dallington Infants,Ronda Sobradiel 20,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Buen Bebé,Calle Pio Baroja 2,Doce de Octubre,Calle Doce de Octubre nº 28,5
Escuela Infantil Buen Consejo,Calle Hiendelaencina 10 Colonia Camarines,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Bërbel Inhelder,Calle Erasmo De Rotterdam 6,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil CSIC (Consejo Superior de Investigaciones Científicas),Calle Jorge Manrique 27,Serrano 113,Calle Serrano nº 113B,8
Escuela Infantil Cadi Centro de Atención y Desarrollo Infantil,Avenida Santuario De Valverde 11,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Calasanz,Calle Madre Rosa Blanco 5,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil Can - Ta - Chimutri (Sol y Luna),Calle Ruperto Andres 6,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Cangurito,Calle General Aranaz 65,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Caperucita,Calle Isla De Nelson 12,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Caracol 2000,Calle Julian Camarillo 52,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Caracola,Paseo Tierra De Melide 28,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Carana Valdemarín,Calle Carlos San Jose 7,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Carricoche,Calle Moreja 1,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil Carrusel,Calle Luis De Salazar 3,Corazón de María,Calle Santa Hortensia nº 31,5
Escuela Infantil Cascabel,Calle Condado De Treviño 35,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Casita  Maravillas,Calle Hierro 6,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Casita Maravillas Nebulosas,Calle Nebulosas 10,Méndez Álvaro,Calle Méndez Álvaro nº 11,4
Escuela Infantil Catalina Laboure,Calle Marroquina 45,Marroquina,Calle Camino de los Vinateros nº 108,16
Escuela Infantil Centro de Primer Ciclo de E.I. de la Univ. Complutense,Avenida Puerta De Hierro,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Cervantes Baby,Calle Avefria 20,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil Chamberines,Calle Garcia De Paredes 14,General Álvarez de Castro,Calle del General Álvarez de Castro nº 1,20
Escuela Infantil Chavalitos,Calle Pradales 8,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Chiqui,Calle Fernando El Catolico 13,Fernando el Católico,Calle Fernando el Católico nº 19,10
Escuela Infantil Chiqui Moratalaz.,Calle Jose Del Prado Y Palacio 3,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Escuela Infantil Chiquikid,Calle Molinos 13,San Germán 57,Calle San Germán nº 57,3
Escuela Infantil Chiquitin Alcántara,Calle Alcantara 52,Ortega y Gasset 87,Calle Ortega y Gasset nº 87,1
Escuela Infantil Chiquitin Embajadores,Calle Sebastian Elcano (Local) 16,Casa Encendida,Ronda de Atocha nº 34,22
Escuela Infantil Chiquitín Nuevo Sur,Calle Sitio De El Escorial 4,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Chiquitín Olimpio. Calle Olimpio López,Calle Olimpio Lopez 10,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Chulapos,Avenida Gran Via Del Sureste 14,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Chuly,Calle Naves 21,Madrid Río-Yeserías,Paseo de Yeserías nº 45,19
Escuela Infantil Chupetines,Calle Antonia Rodriguez Sacristan 13,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil Cinco Estrellas,Avenida Canillejas A Vicalvaro 24,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Ciudad Jardín,Calle Colombia 42,Colombia,Calle Colombia nº 7,6
Escuela Infantil Coco,Calle Monseñor Oscar Romero 72,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Cocolankids,Paseo Doctor Vallejo Nagera 25,Metro Pirámides,Paseo de los Olmos nº 28,9
Escuela Infantil Cocorico,Calle Clara Del Rey 8,Avenida de América 1,Calle Padre Indalecio Hernández nº 1,2
Escuela Infantil Colegio Hispano Alemán,Calle Arga 13,Doctor Arce 45,Avenida del Doctor Arce nº 45,1
Escuela Infantil Colores Saltarines,Calle Valle De Oro 10,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil Colorines,Calle Flora Tristan 4,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Colors,Calle Consenso 25,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Colorín Colorado,Calle Conde De Torralba 8,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Comendadoras de Santiago,Plaza Comendadoras 10,Conde Duque,Calle Conde Duque nº 22,14
Escuela Infantil Conde de Elda,Calle Ponferrada 16,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil Congreso de los Diputados,Carrera San Jeronimo 36,Sevilla,Calle Alcalá nº 27,18
Escuela Infantil Contumami la Vaguada,Plaza Fonsagrada 10,Remonta,Calle Azucenas nº 1,12
Escuela Infantil Cosquillas II,Calle Teniente Coronel Noreña 26,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Creativa La Gavia,Calle Entrepe&Amp;Ntilde;As 27,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Cri - Cri,Calle Corregidor Juan Francisco De Lujan 21,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Escuela Infantil Cuartel General del Ejército del Aire,Calle Romero Robledo 8,Altamirano,Calle Altamirano nº 24,10
Escuela Infantil Cuatro Pecas,Ronda Segovia 13,Segovia 45,Calle Segovia nº 45,18
Escuela Infantil Cuatro Pecas El Carmen,Calle Capitan Salazar Martinez 9,Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,12
Escuela Infantil Cuchitos,Calle General Diaz Porlier 99,Diego de León 52,Calle Diego de León nº 52,16
Escuela Infantil Cucutrás,Plaza Patricio Aguado 6,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Cucutrás II,Plaza Patricio Aguado 6,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Cuentacuentos,Avenida Pablo Neruda 51,Sierra Toledana,Camino de Valderribas nº 94,19
Escuela Infantil Cuna de Jesús,Calle Ferrer Del Rio 26,Cartagena,Calle Cartagena nº 34,1
Escuela Infantil De Oca a Oca,Calle Tintas 6,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil De Peques,Calle Walia 7,Conde de Casal,Plaza del Conde de Casal nº 8,2
Escuela Infantil Delphos,Calle Estrecho De Corea 34,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Denenes,Calle Virgen De Lluc 13,C.D. Concepción,Calle Jose del Hierro nº 5,19
Escuela Infantil Diciembre Garden,Calle Diciembre 41,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Dina Condado,Calle Condado De Treviño 35,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Dina Condado 2,Calle Condado De Treviño 35,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Diventium,Calle Epoca 6,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Divertia,Calle Golfo De Salonica 25,Chamartín,Calle Rodríguez Jaén nº 40,7
Escuela Infantil Diábolo,Calle Caceres 10,Paseo de las Delicias,Paseo de las Delicias nº 92,7
Escuela Infantil Domo,Calle Torregrosa 16,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Don Meliton V,Calle Puentedey 29,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Don Melitón IV,Avenida Cerro Milano 141,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Educando,Calle Doctor Esquerdo 183,Conde de Casal,Plaza del Conde de Casal nº 8,2
Escuela Infantil Educando II,Calle Doctor Esquerdo 183,Conde de Casal,Plaza del Conde de Casal nº 8,2
Escuela Infantil Educando Juntos,Calle Adelfas 12,Valderribas,Calle Doctor Esquerdo nº 191,12
Escuela Infantil Educando Pitufos,Calle Reyes Magos 6,Pío Baroja,Calle Pío Baroja nº 10,14
Escuela Infantil Educavida Es-Cool,Calle Juan De Juanes 10,Valderribas,Calle Doctor Esquerdo nº 191,12
Escuela Infantil Eduqa Las Tablas,Avenida Burgos (Ciudad Empresarial Adequa) 89,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Eduqa Valdebebas,Calle Via De Los Poblados 3,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil El Arrullo,Bulevar Jose Prat 7 Local 1 - 2,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil El Arrullo  V,Avenida Doctor Garcia Tapia 232,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil El Arrullo I,Calle Peña Nueva 74,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil El Arrullo VI,Calle Montes De Barbanza 19,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil El Bebé,Calle Islas Mascareñas 11,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil El Belén,Calle Braille 23,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil El Bosque Encantado. Calle Antonio López,Calle Antonio Lopez 246,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil El Camino,Calle Salitre 33,Plaza de Lavapiés,Calle Valencia nº 1,15
Escuela Infantil El Carmen. Calle Vélez Rubio,Calle Velez Rubio 181,Chamartín,Calle Rodríguez Jaén nº 40,7
Escuela Infantil El Chovo,Calle Carlos Martin Alvarez 23,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil El Desván II,Calle La Diligencia 19,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil El Duende Azul,Calle Culla 5,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil El Duende Travieso II,Paseo Acacias 30,Metro Pirámides,Paseo de los Olmos nº 28,9
Escuela Infantil El Elefante,Calle Burgo De Osma 20,Pío XII,Avenida Pío XII nº 3,17
Escuela Infantil El Encinar,Calle Estrecho De Mesina 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil El Espinillo,Pasaje Avenencia 2,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil El Girasol,Calle General Aranaz 54,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil El Igloo,Calle Marques De Lema 7,Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,3
Escuela Infantil El Jardín de Larín,Calle Arcadia 5,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil El Jardín de Larín Playa de Aro,Calle Playa De Aro 11,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil El Jardín de los Genios,Calle Evaristo San Miguel 11,Ferraz,Calle Evaristo San Miguel nº 2,0
Escuela Infantil El Jardín del Oeste,Calle Estella 9,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil El Madroñal,Calle Jose Paulete 34,Sierra Toledana,Camino de Valderribas nº 94,19
Escuela Infantil El Monin,Calle Alvaro Cunqueiro 32,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil El Mundo de Mozart,Calle Nanclares De Oca 14 Local 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil El Mundo de Mozart II,Calle Aramayona 5,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil El Osito,Calle Lopez De Hoyos 212,Corazón de María,Calle Santa Hortensia nº 31,5
Escuela Infantil El Osito 2,Calle Corazon De Maria 58,Corazón de María,Calle Santa Hortensia nº 31,5
Escuela Infantil El Osito de Luis de Larrainza,Calle Luis Larrainza 46,Corazón de María,Calle Santa Hortensia nº 31,5
Escuela Infantil El Parque de la Piovera,Calle Guadalajara 21,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil El Parque. Calle Cardenal Silíceo,Calle Cardenal Siliceo 25,Corazón de María,Calle Santa Hortensia nº 31,5
Escuela Infantil El Pequeño Sol,Calle El Rompedizo 1,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil El Pilar,Calle Siena 38,Avenida Donostiarra,Calle Virgen de la Alegría nº 18,16
Escuela Infantil El Pinar,Calle Caleruega 51,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil El Príncipe,Avenida Arqueros 1,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil El Reino del Revés,Calle Fernando Poo 8,Embajadores-Cáceres,Calle Embajadores nº 101,5
Escuela Infantil El Rey de la Casa,Calle Maqueda 54,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil El Sitio de tu Recreo,Calle Juan De Austria 7,Manuel Silvela,Calle Manuel Silvela nº 20,18
Escuela Infantil El Sur,Calle Cifuentes 12,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil El Tren de los Niños,Avenida Burgos 34 Otra Escuela En Avda. Burgos 28,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil El Tren de los Niños II,Avenida Burgos 28 Otra Escuela En Avda. Burgos 34,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil El Trébol Mágico,"Carretera Villaverde A Vallecas 3,5",Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil El Valle,Avenida Valle 22,San Francisco de Sales,Calle General Ampudia nº 2,8
Escuela Infantil El Viaje de Neu,Calle Joaquin Turina 1,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Ellaluna,Calle Pandora 23,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Espíritu Santo,Avenida Daroca 28,Puente de Ventas,Avenida de Daroca nº 2,16
Escuela Infantil Extremadura,Calle Esfinge 90,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Fantasía II,Calle Justa Garcia 12,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil Fisbis,Calle San Graciano 2,Antonio López,Calle Eugenio Caxes frente al nº 12,18
Escuela Infantil Fundación Torat Moshe,Calle Almarza 24,Pío XII,Avenida Pío XII nº 3,17
Escuela Infantil Gaia,Calle Merida 23,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Garabatos,Calle Joaquin Jorge Alarcon 49,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil Garabatos y Ocho Patos. Calle Laurel,Calle Laurel 33,Paseo de la Esperanza,Paseo de la Esperanza nº 21,9
Escuela Infantil Garabatos y Ocho Patos. Calle Melilla,Calle Melilla 6,Metro Pirámides,Paseo de los Olmos nº 28,9
Escuela Infantil Garabatos y Ocho Patos. Paseo Acacias,Paseo Acacias 29,Paseo de la Esperanza,Paseo de la Esperanza nº 2,0
Escuela Infantil Geppetto,Calle Ana Mariscal 1,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Globitos,Calle Benisoda 14,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Globos,Calle Arroyo De La Media Legua 29,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Escuela Infantil Goofy,Calle Aceuchal 6,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Gran Vía,Calle Alejandro Villegas 48,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Grazalema,Plaza Sierra De Grazalema 1,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Grumete Madrid,Calle Serrano Galvache 1,Pío XII,Avenida Pío XII nº 3,17
Escuela Infantil Guarderia Moreno,Calle Misterios 8,C.D. Concepción,Calle Jose del Hierro nº 5,19
Escuela Infantil Guardería Nido la Cigüeña,Calle Codorniz 6,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Guardería Pluto,Calle Ocaña 93,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Guardia Real,Paseo El Pardo S/N (Cuartel Del Rey) 1,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Guardilla Infantil,Calle Guzman El Bueno 110,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Escuela Infantil Guiñol,Avenida Doctor Garcia Tapia 206,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Halo Baby,Calle Maximo Carazo 1,San Delfín,Calle San Delfín nº 9,17
Escuela Infantil Hola Bicho Bola,Calle Vicente Jimenez 7,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Inizia Distrito C,Ronda Comunicacion 28,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Internacional Valdemarín,Calle Torreadrada 1,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Iris,Calle Calanda 14,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Isabel Zendal,Avenida Monforte De Lemos 5,Torre Cepsa,Calle Sinesio Delgado nº 2,11
Escuela Infantil Jaizkibel,Calle Jose Del Hierro 29,C.D. Concepción,Calle Jose del Hierro nº 5,19
Escuela Infantil Jardimar,Calle Cobos De Segovia 5,Paseo Imperial,Paseo Imperial nº 20,12
Escuela Infantil Jardín  Kinderland,Calle Capitan Haya 13,San Germán 5,Calle San Germán nº 5,3
Escuela Infantil Jardín Infantil,Calle Embajadores 173,Beata,Calle Alicante nº 3,12
Escuela Infantil Jardín Kinderland,Calle General Yagüe 5,San Germán 5,Calle San Germán nº 5,3
Escuela Infantil Jardín de las Delicias,Calle Tomas Breton 43,Paseo de las Delicias,Paseo de las Delicias nº 92,7
Escuela Infantil Jardín de las Delicias. Calle Tomás Bretón,Calle Tomas Breton 43,Paseo de las Delicias,Paseo de las Delicias nº 92,7
Escuela Infantil Javier García Pita,Calle Humanes 12,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Escuela Infantil Jesús Niño,Calle Florencio Garcia 12,C.D. Concepción,Calle Jose del Hierro nº 5,19
Escuela Infantil Juguetones,Calle Calero Pita 15,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil Juncos,Calle Sierra Toledana 9,Sierra Toledana,Camino de Valderribas nº 94,19
Escuela Infantil Kids Retiro,Calle Luis Mitjans 29,Valderribas,Calle Doctor Esquerdo nº 191,12
Escuela Infantil Kidsuanzes,"Calle Alfonso Gomez  (Bajo, Locales A Y C) 17",Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Kika,Calle Antracita 24,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Kinder My Garden,Calle Blanes 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil La Abeja Maya,Calle Islas Bahamas 33,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil La Aldea,Calle Principal 4,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil La Almudena,Calle Motilla Del Palancar 19,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil La Anunciata,Calle Camarena 55,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil La Casa Zipizape,Camino Ganapanes 31,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil La Casa de los Hermanitos,Calle La Corte De Faraon 11,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil La Casa del Niño - Salus Infirmorun,Calle Mateo Inurria 20 C/ Donoso Montesinos 17,López Pozas,Calle General López Pozas nº 2,5
Escuela Infantil La Casa del Río,Paseo Comandante Fortea 81 Colonia Del Manzanares,Paseo de Moret,Paseo de Moret nº 11,13
Escuela Infantil La Casita de Kika,Calle Alfonso Martinez Conde 2,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil La Casita de los Pitufos,Calle Sierra De Filabres 73,Sierra Toledana,Camino de Valderribas nº 94,19
Escuela Infantil La Casita de los Pitufos II,Avenida Moratalaz 141,Marroquina,Calle Camino de los Vinateros nº 108,16
Escuela Infantil La Cigüeña,Calle Marina Usera 28,San Delfín,Calle San Delfín nº 9,17
Escuela Infantil La Colmena,Calle Quintanavides 11,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil La Cometa,Calle Gonzalez Arias 10,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil La Cuncuna,Calle Antonio Romero 21,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil La Estrella Infantil,Calle Estrella Polar 22,Plaza de los Astros,Avenida de Nazaret nº 7,5
Escuela Infantil La Guarde del Huerto,Calle Santa Susana 30,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil La Jara,Calle Hijas De Jesus 30,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil La Jirafa. Calle Sicelidas,Calle Sicelidas 6,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil La Locomotora,Plaza Mondariz 14,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil La Luna,Avenida Santa Eugenia 21,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil La Paloma,Calle Claudio Ferrero Ferrero 2,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil La Plazuela,Calle Martires De La Ventilla 32,Torre Cepsa,Calle Sinesio Delgado nº 2,11
Escuela Infantil La Pradera,Calle Antonio Vico 8,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil La Virgen Niña,Calle Gregorio Benitez 8,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Lago Como,Calle Fuente Carrantona 33,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Laly,Calle Europa 4,López Pozas,Calle General López Pozas nº 2,5
Escuela Infantil Lapizitos. Calle Condesa de Teba,Calle Condesa De Teba 11,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Letras,Calle Francisco Navacerrada 5,Avenida de los Toreros,Avenida de los Toreros nº 3,4
Escuela Infantil Little Clovers,Calle Antonio Cavero 91,Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Escuela Infantil Little Fem,Calle General Asensio Cabanillas 37,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Escuela Infantil Little Frogs,Calle Playa De San Juan 8,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Little Jungle,Calle Lago Titicaca 6,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Little Planet,Calle Golfo De Salonica 63,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Little Witch,Calle Buganvilla 2,Chamartín,Calle Rodríguez Jaén nº 40,7
"Escuela Infantil Los Angelotes Siglo XXI, SLU",Calle Rafael Bergamin 20,Corazón de María,Calle Santa Hortensia nº 31,5
Escuela Infantil Los Cucos,Calle Soto Hidalgo 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Los Delfines,Calle Esteban Carros 18,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil Los Madroños,Calle Berrocal 1,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Los Nanos Chiflados,Calle Marcenado 46,Prosperidad,Calle Suero de Quiñones nº 2,8
Escuela Infantil Los Nidos de Manoteras,Avenida Manoteras 8,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Los Pekes,Calle Comandante Zorita 53,General Perón 1,Avenida del General Perón frente al nº 4,0
Escuela Infantil Los Pitufos. Calle La Chulapona,Calle La Chulapona 8,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil Los Solecitos,Calle Via 19,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil Los Soletes Proyectos Infantiles S.L. II,Calle Nereida 12,Méndez Álvaro,Calle Retama nº 5,13
Escuela Infantil Luismapetonga - Peluches,Calle Toscana 156,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Luna Lunera,Avenida Peseta 60,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil Luna de Papel,Paseo Ermita Del Santo 19,Ermita Santo,Paseo de la Ermita del Santo nº 48,5
Escuela Infantil Lunalu,Calle Corregidor Juan Francisco De Lujan 81,Marroquina,Calle Camino de los Vinateros nº 108,16
